PROVINCIA;DESPROVINCIA;MODELO;DESMODELO;CLASE;DESCLASE;CAP_ASIENTOS;DESCAP_ASIENTOS;CAP_TONELAJE;DESCAP_TONELAJE;COMBUSTIBLE;DESCOMBUSTIBLE;SERVICIO;DESERVICIO;MARCA;DESMARCA
17;PICHINCHA;2002;2002 Y ANTERIOR;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;1;PARTICULAR;69;OTRAS MARCAS
8;ESMERALDAS;2010;2010;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;66;VOLKSWAGEN
1;AZUAY;2012;2012;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;66;VOLKSWAGEN
13;MANABÍ;2007;2007;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
13;MANABÍ;2006;2006;2;BUS;5;41 Y MAS;1;1/4 A 3;2;GASOLINA;2;ALQUILER;66;VOLKSWAGEN
8;ESMERALDAS;2006;2006;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;66;VOLKSWAGEN
4;CARCHI;2012;2012;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
15;NAPO;2012;2012;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
8;ESMERALDAS;2012;2012;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
3;CAÑAR;2006;2006;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
6;CHIMBORAZO;2006;2006;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
16;PASTAZA;2010;2010;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
8;ESMERALDAS;2012;2012;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
8;ESMERALDAS;2012;2012;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
13;MANABÍ;2006;2006;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;25;JAC
13;MANABÍ;2011;2011;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
17;PICHINCHA;2011;2011;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;3;ESTADO;66;VOLKSWAGEN
16;PASTAZA;2009;2009;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;3;ESTADO;19;HINO
13;MANABÍ;2002;2002 Y ANTERIOR;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;1;PARTICULAR;24;ISUZU
13;MANABÍ;2002;2002 Y ANTERIOR;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
13;MANABÍ;2002;2002 Y ANTERIOR;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
17;PICHINCHA;2012;2012;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
13;MANABÍ;2012;2012;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
13;MANABÍ;2012;2012;2;BUS;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
